CODE,Country,Date,Confirmed Cases,Daily Confirmed,Deaths,Daily Deaths,Recovered,Daily Recovered,Region,Income Level,GDP,Population
TCD,Chad,4/5/2020,9,0,0,0,0,0,Sub-Saharan Africa,Low income,12547000000,15946876
TCD,Chad,4/28/2020,52,6,2,2,19,4,Sub-Saharan Africa,Low income,12547000000,15946876
COG,Congo (Brazzaville),4/16/2020,117,0,5,0,11,0,Sub-Saharan Africa,Low income,NULL,0
COG,Congo (Brazzaville),4/22/2020,186,21,6,0,16,0,Sub-Saharan Africa,Low income,NULL,0
COG,Congo (Brazzaville),5/21/2020,469,49,16,1,137,5,Sub-Saharan Africa,Low income,NULL,0
BEL,Belgium,5/1/2020,49032,513,7703,109,11892,316,Europe,High income,553781000000,11539328
KAZ,Kazakhstan,4/25/2020,2601,119,25,0,646,42,Central Asia,Upper middle income,177322000000,18551427
KAZ,Kazakhstan,4/28/2020,3027,192,25,0,774,54,Central Asia,Upper middle income,177322000000,18551427
JOR,Jordan,5/17/2020,613,6,9,0,408,4,Middle East & North Africa,Upper middle income,46451000000,10101694
MLT,Malta,4/4/2020,213,11,0,0,2,0,Middle East & North Africa,High income,16338000000,440372
LBY,Libya,5/9/2020,64,0,3,0,24,0,Middle East & North Africa,Upper middle income,50424000000,6777452
GNB,Guinea-Bissau,4/20/2020,50,0,0,0,3,0,Sub-Saharan Africa,Low income,1669000000,1920922
GUY,Guyana,3/28/2020,8,3,1,0,0,0,Latin America & Caribbean,Upper middle income,4609000000,782766
Republic of the Congo,Republic of the Congo,3/21/2020,0,0,0,0,0,0,Sub-Saharan Africa,NULL,NULL,NULL
SYC,Seychelles,4/11/2020,11,0,0,0,0,0,Sub-Saharan Africa,High income,1739000000,97739
MLI,Mali,4/7/2020,56,9,5,0,12,3,Sub-Saharan Africa,Low income,19332000000,19658031
COL,Colombia,5/31/2020,27219,485,916,25,7032,97,Latin America & Caribbean,Upper middle income,352810000000,50339443
GNQ,Equatorial Guinea,5/29/2020,1306,263,12,0,200,35,Sub-Saharan Africa,Upper middle income,12263000000,1355986
ERI,Eritrea,3/26/2020,6,2,0,0,0,0,Sub-Saharan Africa,Low income,8116000000,3497117
TUN,Tunisia,5/7/2020,1026,1,44,1,600,9,Middle East & North Africa,Lower middle income,35150000000,11694719
ISL,Iceland,5/9/2020,1801,0,10,0,1773,8,Europe,High income,26821000000,339031
HTI,Haiti,4/12/2020,33,0,3,1,0,0,Latin America & Caribbean,Low income,9648000000,11263770
TGO,Togo,5/31/2020,442,9,13,0,211,5,Sub-Saharan Africa,Low income,6132000000,8082366
TUN,Tunisia,3/10/2020,5,3,0,0,0,0,Middle East & North Africa,Lower middle income,35150000000,11694719
SAU,Saudi Arabia,5/1/2020,24097,1344,169,7,3555,392,Middle East & North Africa,High income,790062000000,34268528
NAM,Namibia,5/11/2020,16,0,0,0,11,0,Sub-Saharan Africa,Upper middle income,14627000000,2494530
ARE,United Arab Emirates,4/9/2020,2990,331,14,2,268,29,Middle East & North Africa,High income,449130000000,9770529
ARE,United Arab Emirates,5/11/2020,18878,680,201,3,5381,577,Middle East & North Africa,High income,449130000000,9770529
AND,Andorra,3/2/2020,1,1,0,0,0,0,Europe,High income,2858406626,77142
AND,Andorra,3/28/2020,308,41,3,0,1,0,Europe,High income,2858406626,77142
GEO,Georgia,3/18/2020,38,4,0,0,1,0,Europe,Upper middle income,18888000000,3996765
MRT,Mauritania,3/21/2020,2,0,0,0,0,0,Sub-Saharan Africa,Lower middle income,5697000000,4525696
LCA,Saint Lucia,4/29/2020,17,2,0,0,15,0,Latin America & Caribbean,Upper middle income,2069000000,182790
KWT,Kuwait,3/1/2020,45,0,0,0,0,0,Middle East & North Africa,High income,142999000000,4207083
KWT,Kuwait,3/27/2020,225,17,0,0,57,8,Middle East & North Africa,High income,142999000000,4207083
KWT,Kuwait,5/24/2020,21302,838,156,8,6117,370,Middle East & North Africa,High income,142999000000,4207083
MCO,Monaco,4/4/2020,66,2,1,0,3,0,Europe,High income,6468000877,38964
MCO,Monaco,5/9/2020,96,1,4,0,82,0,Europe,High income,6468000877,38964
FIN,Finland,4/24/2020,4395,111,177,5,2500,500,Europe,High income,289243000000,5532156
FIN,Finland,5/3/2020,5254,78,230,10,3000,0,Europe,High income,289243000000,5532156
FIN,Finland,6/1/2020,6885,26,318,0,5500,0,Europe,High income,289243000000,5532156
GAB,Gabon,3/29/2020,7,0,1,0,0,0,Sub-Saharan Africa,Upper middle income,17893000000,2172579
MYS,Malaysia,4/27/2020,5820,40,99,1,3957,95,East Asia & Pacific,Upper middle income,401985000000,31949777
KOR,"Korea, South",4/30/2020,10774,9,248,1,9072,13,East Asia & Pacific,High income,1744360000000,51225308
AFG,Afghanistan,4/17/2020,906,66,30,0,99,45,Central Asia,Low income,20682000000,38041754
AFG,Afghanistan,5/10/2020,4402,369,120,5,558,56,Central Asia,Low income,20682000000,38041754
AFG,Afghanistan,5/16/2020,6402,349,168,15,745,0,Central Asia,Low income,20682000000,38041754
CUB,Cuba,5/1/2020,1537,36,64,3,714,33,Latin America & Caribbean,Upper middle income,89688700000,11333483
Curacao,Curacao,3/14/2020,1,1,0,0,0,0,Latin America & Caribbean,NULL,NULL,NULL
AUT,Austria,3/21/2020,2814,426,8,2,9,0,Europe,High income,481678000000,8955102
AUT,Austria,4/25/2020,15148,77,536,6,12103,231,Europe,High income,481678000000,8955102
AUT,Austria,5/24/2020,16503,17,640,1,15063,26,Europe,High income,481678000000,8955102
CUB,Cuba,5/30/2020,2025,20,83,1,1795,35,Latin America & Caribbean,Upper middle income,89688700000,11333483
ECU,Ecuador,3/8/2020,14,1,0,0,0,0,Latin America & Caribbean,Upper middle income,107730000000,17373662
PER,Peru,6/2/2020,170039,0,4634,0,69257,750,Latin America & Caribbean,Upper middle income,244163000000,32510453
IRQ,Iraq,2/29/2020,13,6,0,0,0,0,Middle East & North Africa,Upper middle income,246932000000,39309783
IRQ,Iraq,3/23/2020,266,33,23,3,62,5,Middle East & North Africa,Upper middle income,246932000000,39309783
IRQ,Iraq,5/29/2020,5873,416,185,6,3044,73,Middle East & North Africa,Upper middle income,246932000000,39309783
DNK,Denmark,4/17/2020,7268,194,336,15,3571,368,Europe,High income,364546000000,5771876
DNK,Denmark,5/10/2020,10627,110,529,3,8415,124,Europe,High income,364546000000,5771876
TLS,East Timor,5/4/2020,24,0,0,0,20,4,East Asia & Pacific,NULL,NULL,NULL
TLS,East Timor,5/7/2020,24,0,0,0,21,1,East Asia & Pacific,NULL,NULL,NULL
TLS,East Timor,5/10/2020,24,0,0,0,21,0,East Asia & Pacific,NULL,NULL,NULL
LKA,Sri Lanka,3/21/2020,77,4,0,0,1,0,South Asia,Upper middle income,89942000000,21323733
ARG,Argentina,3/18/2020,79,11,2,0,3,0,Latin America & Caribbean,Upper middle income,515353000000,44780677
ARE,United Arab Emirates,5/20/2020,26004,941,233,6,11809,1018,Middle East & North Africa,High income,449130000000,9770529
EGY,Egypt,2/15/2020,1,0,0,0,0,0,Middle East & North Africa,Lower middle income,331360000000,100388073
LAO,Laos,5/23/2020,19,0,0,0,14,0,East Asia & Pacific,Lower middle income,22013000000,7169455
LAO,Laos,3/26/2020,6,3,0,0,0,0,East Asia & Pacific,Lower middle income,22013000000,7169455
MDA,Moldova,3/9/2020,1,0,0,0,0,0,Europe,Lower middle income,12793000000,4043263
MDA,Moldova,4/4/2020,752,161,12,4,29,3,Europe,Lower middle income,12793000000,4043263
ETH,Ethiopia,5/15/2020,287,15,5,0,112,4,Sub-Saharan Africa,Low income,99371000000,112078730
ETH,Ethiopia,5/21/2020,399,10,5,0,123,1,Sub-Saharan Africa,Low income,99371000000,112078730
AUT,Austria,3/24/2020,5283,809,28,7,9,0,Europe,High income,481678000000,8955102
AUT,Austria,5/15/2020,16109,51,628,2,14471,66,Europe,High income,481678000000,8955102
BGD,Bangladesh,4/18/2020,2144,306,84,9,66,8,South Asia,Lower middle income,343279000000,163046161
CYP,Cyprus,5/24/2020,935,8,17,0,594,0,Europe,High income,26348000000,1179551
IRN,Iran,3/23/2020,23049,1411,1812,127,8376,741,Middle East & North Africa,Upper middle income,495694000000,82913906
IRN,Iran,3/26/2020,29406,2389,2234,157,10457,832,Middle East & North Africa,Upper middle income,495694000000,82913906
IRN,Iran,4/24/2020,88194,1168,5574,93,66599,1756,Middle East & North Africa,Upper middle income,495694000000,82913906
IRQ,Iraq,2/23/2020,0,0,0,0,0,0,Middle East & North Africa,Upper middle income,246932000000,39309783
IRQ,Iraq,2/26/2020,5,4,0,0,0,0,Middle East & North Africa,Upper middle income,246932000000,39309783
IRQ,Iraq,4/27/2020,1847,27,88,1,1286,23,Middle East & North Africa,Upper middle income,246932000000,39309783
IRQ,Iraq,5/26/2020,4848,216,169,6,2852,41,Middle East & North Africa,Upper middle income,246932000000,39309783
JAM,Jamaica,4/10/2020,63,0,4,0,13,1,Latin America & Caribbean,Upper middle income,16717000000,2948279
GNQ,Guinea,4/21/2020,688,66,6,1,127,5,Sub-Saharan Africa,Low income,13603000000,12771246
GNQ,Guinea,4/27/2020,1163,167,7,0,246,38,Sub-Saharan Africa,Low income,13603000000,12771246
GNB,Guinea-Bissau,4/23/2020,50,0,0,0,3,0,Sub-Saharan Africa,Low income,1669000000,1920922
GUY,Guyana,4/20/2020,65,0,7,0,9,0,Latin America & Caribbean,Upper middle income,4609000000,782766
OMN,Others,3/22/2020,712,0,8,0,567,242,NULL,NULL,NULL,NULL
OMN,Others,3/31/2020,714,0,10,0,603,0,NULL,NULL,NULL,NULL
OMN,Others,4/29/2020,721,0,15,0,645,0,NULL,NULL,NULL,NULL
PLW,Palestine,4/24/2020,484,4,4,0,92,0,Middle East & North Africa,Lower middle income,13397100000,5051953
PLW,Palestine,5/20/2020,398,7,2,0,346,0,Middle East & North Africa,Lower middle income,13397100000,5051953
IND,India,3/26/2020,727,70,20,8,45,2,South Asia,Lower middle income,3257720000000,1366417754
IND,India,5/26/2020,150793,5843,4344,172,64277,3571,South Asia,Lower middle income,3257720000000,1366417754
MDA,Moldova,5/3/2020,4121,69,125,1,1382,48,Europe,Lower middle income,12793000000,4043263
BDI,Burundi,5/18/2020,42,19,1,0,20,5,Sub-Saharan Africa,Low income,3714000000,10864245
BDI,Burundi,4/13/2020,5,0,1,1,0,0,Sub-Saharan Africa,Low income,3714000000,10864245
BGR,Bulgaria,5/18/2020,2235,24,110,2,612,14,Europe,Upper middle income,71746000000,7000119
CAF,Central African Republic,5/2/2020,72,0,0,0,10,0,Sub-Saharan Africa,Low income,2485000000,4745185
CAF,Central African Republic,5/8/2020,143,49,0,0,10,0,Sub-Saharan Africa,Low income,2485000000,4745185
CAF,Central African Republic,5/11/2020,143,0,0,0,10,0,Sub-Saharan Africa,Low income,2485000000,4745185
ECU,Ecuador,3/17/2020,58,21,2,0,0,0,Latin America & Caribbean,Upper middle income,107730000000,17373662
AUT,Austria,4/16/2020,14476,140,410,17,8986,888,Europe,High income,481678000000,8955102
JAM,Jamaica,4/16/2020,143,18,5,0,21,0,Latin America & Caribbean,Upper middle income,16717000000,2948279
POL,Poland,3/24/2020,901,152,10,2,1,0,Europe,High income,643274000000,37887768
POL,Poland,3/30/2020,2055,193,31,9,7,0,Europe,High income,643274000000,37887768
CYP,Cyprus,3/30/2020,230,16,7,2,22,7,Europe,High income,26348000000,1179551
CYP,Cyprus,5/1/2020,857,7,15,0,296,0,Europe,High income,26348000000,1179551
COM,Comoros,5/6/2020,8,5,1,1,0,0,Sub-Saharan Africa,Lower middle income,1178000000,832322
GRD,Grenada,4/21/2020,14,0,0,0,6,0,Latin America & Caribbean,Upper middle income,1330000000,112003
GRD,Grenada,4/27/2020,18,0,0,0,7,0,Latin America & Caribbean,Upper middle income,1330000000,112003
GRD,Grenada,5/20/2020,22,0,0,0,17,3,Latin America & Caribbean,Upper middle income,1330000000,112003
MRT,Mauritania,3/24/2020,2,0,0,0,0,0,Sub-Saharan Africa,Lower middle income,5697000000,4525696
BWQ,Botswana,4/30/2020,23,0,1,0,5,0,Sub-Saharan Africa,Upper middle income,20873000000,2303697
BWQ,Botswana,5/26/2020,35,0,1,0,20,1,Sub-Saharan Africa,Upper middle income,20873000000,2303697
ARM,Armenia,5/19/2020,5041,218,64,3,2164,145,Europe,Upper middle income,13868000000,2957731
ARM,Armenia,5/22/2020,5928,322,74,4,2874,293,Europe,Upper middle income,13868000000,2957731
BRA,Brazil,4/5/2020,11130,770,486,41,127,0,Latin America & Caribbean,Upper middle income,2062500000000,211049527
BRA,Brazil,4/11/2020,20727,1089,1124,67,173,0,Latin America & Caribbean,Upper middle income,2062500000000,211049527
TUN,Tunisia,5/25/2020,1051,0,48,0,919,2,Middle East & North Africa,Lower middle income,35150000000,11694719
CHN,China,3/27/2020,81897,115,3296,5,74714,539,East Asia & Pacific,Upper middle income,15468100000000,1433783686
CHN,China,5/7/2020,83975,5,4637,0,78977,48,East Asia & Pacific,Upper middle income,15468100000000,1433783686
ITA,Italy,5/2/2020,209328,1900,28710,474,79914,1665,Europe,High income,2090450000000,60550075
ITA,Italy,5/5/2020,213013,1075,29315,236,85231,2352,Europe,High income,2090450000000,60550075
HND,Honduras,5/24/2020,3950,473,180,13,468,29,Latin America & Caribbean,Lower middle income,25560000000,9746117
MLT,Malta,3/12/2020,6,0,0,0,0,0,Middle East & North Africa,High income,16338000000,440372
MLT,Malta,3/18/2020,38,0,0,0,2,0,Middle East & North Africa,High income,16338000000,440372
MLT,Malta,3/21/2020,73,9,0,0,2,0,Middle East & North Africa,High income,16338000000,440372
MLT,Malta,4/22/2020,444,1,3,0,165,15,Middle East & North Africa,High income,16338000000,440372
ERI,Eritrea,4/4/2020,29,7,0,0,0,0,Sub-Saharan Africa,Low income,8116000000,3497117
ERI,Eritrea,5/9/2020,39,0,0,0,37,0,Sub-Saharan Africa,Low income,8116000000,3497117
COL,Colombia,4/15/2020,3105,126,131,4,452,98,Latin America & Caribbean,Upper middle income,352810000000,50339443
COL,Colombia,5/14/2020,13610,680,525,16,3358,225,Latin America & Caribbean,Upper middle income,352810000000,50339443
CHL,Chile,4/18/2020,9730,478,126,10,4035,414,Latin America & Caribbean,High income,313561000000,18952038
GNQ,Guinea,3/23/2020,4,2,0,0,0,0,Sub-Saharan Africa,Low income,13603000000,12771246
GNQ,Guinea,3/26/2020,4,0,0,0,0,0,Sub-Saharan Africa,Low income,13603000000,12771246
GNQ,Guinea,5/23/2020,3176,109,20,1,1631,56,Sub-Saharan Africa,Low income,13603000000,12771246
GNB,Guinea-Bissau,4/29/2020,205,132,1,0,19,1,Sub-Saharan Africa,Low income,1669000000,1920922
GNB,Guinea-Bissau,5/2/2020,257,0,1,0,19,0,Sub-Saharan Africa,Low income,1669000000,1920922
MDG,Madagascar,5/3/2020,149,14,0,0,98,1,Sub-Saharan Africa,Low income,13542000000,26969307
NGA,Nigeria,5/25/2020,8068,229,233,7,2311,48,Sub-Saharan Africa,Lower middle income,496122000000,200963599
KHM,Cambodia,2/1/2020,1,0,0,0,0,0,East Asia & Pacific,Lower middle income,29309000000,16486542
KHM,Cambodia,2/4/2020,1,0,0,0,0,0,East Asia & Pacific,Lower middle income,29309000000,16486542
CPV,Cape Verde,5/31/2020,435,14,4,0,193,26,Sub-Saharan Africa,Lower middle income,2208000000,549935
HTI,Haiti,3/29/2020,15,7,0,0,1,1,Latin America & Caribbean,Low income,9648000000,11263770
HTI,Haiti,4/21/2020,57,0,3,0,0,0,Latin America & Caribbean,Low income,9648000000,11263770
HTI,Haiti,4/27/2020,76,2,6,0,8,1,Latin America & Caribbean,Low income,9648000000,11263770
HTI,Haiti,5/26/2020,1174,216,33,6,22,0,Latin America & Caribbean,Low income,9648000000,11263770
DJI,Djibouti,4/29/2020,1077,5,2,0,599,101,Middle East & North Africa,Lower middle income,2599000000,973560
DOM,Dominican Republic,3/14/2020,11,6,0,0,0,0,Latin America & Caribbean,Upper middle income,90459000000,10738958
COG,Congo (Brazzaville),5/30/2020,571,0,19,0,161,0,Sub-Saharan Africa,Low income,NULL,0
DJI,Djibouti,4/3/2020,49,9,0,0,8,8,Middle East & North Africa,Lower middle income,2599000000,973560
PNG,Papua New Guinea,5/19/2020,8,0,0,0,8,0,East Asia & Pacific,Lower middle income,22114000000,8776109
PNG,Papua New Guinea,5/25/2020,8,0,0,0,8,0,East Asia & Pacific,Lower middle income,22114000000,8776109
KOR,"Korea, South",4/7/2020,10331,47,192,6,6694,96,East Asia & Pacific,High income,1744360000000,51225308
ITA,Italy,2/25/2020,322,93,10,3,1,0,Europe,High income,2090450000000,60550075
ITA,Italy,4/29/2020,203591,2086,27682,323,71252,2311,Europe,High income,2090450000000,60550075
KOR,"Korea, South",3/3/2020,5186,851,28,0,30,0,East Asia & Pacific,High income,1744360000000,51225308
ECU,Ecuador,4/12/2020,7466,209,333,18,501,90,Latin America & Caribbean,Upper middle income,107730000000,17373662
ECU,Ecuador,5/11/2020,29509,0,2145,18,3433,0,Latin America & Caribbean,Upper middle income,107730000000,17373662
ECU,Ecuador,5/14/2020,30502,16,2338,4,3433,0,Latin America & Caribbean,Upper middle income,107730000000,17373662
JOR,Jordan,5/8/2020,508,14,9,0,385,4,Middle East & North Africa,Upper middle income,46451000000,10101694
CUB,Cuba,3/30/2020,170,31,4,1,4,0,Latin America & Caribbean,Upper middle income,89688700000,11333483
CUB,Cuba,4/5/2020,320,32,8,2,15,0,Latin America & Caribbean,Upper middle income,89688700000,11333483
CUB,Cuba,4/8/2020,457,61,12,1,27,0,Latin America & Caribbean,Upper middle income,89688700000,11333483
PER,Peru,3/7/2020,1,0,0,0,0,0,Latin America & Caribbean,Upper middle income,244163000000,32510453
PER,Peru,4/2/2020,1414,91,55,17,537,143,Latin America & Caribbean,Upper middle income,244163000000,32510453
PER,Peru,4/5/2020,2281,535,83,10,989,75,Latin America & Caribbean,Upper middle income,244163000000,32510453
PER,Peru,4/8/2020,4342,1388,121,14,1333,32,Latin America & Caribbean,Upper middle income,244163000000,32510453
PER,Peru,4/11/2020,6848,951,181,12,1739,170,Latin America & Caribbean,Upper middle income,244163000000,32510453
PER,Peru,5/7/2020,58526,3709,1627,94,18388,861,Latin America & Caribbean,Upper middle income,244163000000,32510453
DNK,Denmark,3/13/2020,804,187,0,0,1,0,Europe,High income,364546000000,5771876
DNK,Denmark,4/8/2020,5597,331,218,15,1763,142,Europe,High income,364546000000,5771876
DNK,Denmark,4/14/2020,6706,193,299,14,2689,286,Europe,High income,364546000000,5771876
KHM,Cambodia,5/7/2020,122,0,0,0,120,0,East Asia & Pacific,Lower middle income,29309000000,16486542
CMR,Cameroon,3/23/2020,56,16,0,0,2,0,Sub-Saharan Africa,Lower middle income,42047000000,25876380
DMA,Dominica,4/30/2020,16,0,0,0,13,0,Latin America & Caribbean,Upper middle income,590000000,71808
ARM,Armenia,3/19/2020,115,31,0,0,1,0,Europe,Upper middle income,13868000000,2957731
ARM,Armenia,3/22/2020,194,34,0,0,2,1,Europe,Upper middle income,13868000000,2957731
ARM,Armenia,4/17/2020,1201,42,19,1,402,44,Europe,Upper middle income,13868000000,2957731
AZE,Azerbaijan,3/8/2020,9,0,0,0,0,0,Europe,Upper middle income,47429000000,10047718
AZE,Azerbaijan,3/31/2020,298,25,5,1,26,0,Europe,Upper middle income,47429000000,10047718
COD,Congo (Kinshasa),5/25/2020,2297,156,67,4,337,20,Sub-Saharan Africa,Low income,52475000000,89561403
COD,Congo (Kinshasa),5/28/2020,2660,114,69,1,381,16,Sub-Saharan Africa,Low income,52475000000,89561403
FRA,France,1/25/2020,3,1,NULL,0,NULL,0,Europe,High income,2876050000000,65129728
CAF,Central African Republic,5/31/2020,1011,49,2,1,23,0,Sub-Saharan Africa,Low income,2485000000,4745185
ECU,Ecuador,3/11/2020,17,2,0,0,0,0,Latin America & Caribbean,Upper middle income,107730000000,17373662
MOZ,Mozambique,5/2/2020,79,0,0,0,18,6,Sub-Saharan Africa,Low income,16294000000,30366036
MOZ,Mozambique,5/31/2020,254,10,2,0,91,1,Sub-Saharan Africa,Low income,16294000000,30366036
BOL,Bolivia,3/15/2020,10,0,0,0,0,0,Latin America & Caribbean,Lower middle income,47052000000,11513100
GNQ,Equatorial Guinea,3/30/2020,12,0,0,0,0,0,Sub-Saharan Africa,Upper middle income,12263000000,1355986
GNQ,Equatorial Guinea,4/2/2020,15,0,0,0,1,0,Sub-Saharan Africa,Upper middle income,12263000000,1355986
GNQ,Equatorial Guinea,5/1/2020,315,0,1,0,9,0,Sub-Saharan Africa,Upper middle income,12263000000,1355986
CHL,Chile,4/21/2020,10832,325,147,8,4969,293,Latin America & Caribbean,High income,313561000000,18952038
CHL,Chile,5/17/2020,43781,2353,450,29,19213,1199,Latin America & Caribbean,High income,313561000000,18952038
CHL,Chile,5/23/2020,65393,3536,673,43,26546,1204,Latin America & Caribbean,High income,313561000000,18952038
GUY,Guyana,5/22/2020,127,0,10,0,57,0,Latin America & Caribbean,Upper middle income,4609000000,782766
HUN,Hungary,3/27/2020,300,39,10,0,34,6,Europe,High income,177734000000,9684679
HUN,Hungary,4/22/2020,2168,70,225,12,295,8,Europe,High income,177734000000,9684679
HUN,Hungary,4/25/2020,2443,0,262,0,458,0,Europe,High income,177734000000,9684679
HUN,Hungary,4/28/2020,2649,66,291,11,516,18,Europe,High income,177734000000,9684679
GNQ,Guinea,4/24/2020,954,92,6,0,191,21,Sub-Saharan Africa,Low income,13603000000,12771246
GNB,Guinea-Bissau,5/25/2020,1178,64,7,1,42,0,Sub-Saharan Africa,Low income,1669000000,1920922
GUY,Guyana,4/14/2020,47,2,6,0,8,0,Latin America & Caribbean,Upper middle income,4609000000,782766
SMR,San Marino,2/27/2020,1,1,0,0,0,0,Europe,High income,1672000000,33860
SSD,South Sudan,4/16/2020,4,0,0,0,0,0,Sub-Saharan Africa,Low income,2796000000,11062113
SSD,South Sudan,5/15/2020,236,33,4,4,4,1,Sub-Saharan Africa,Low income,2796000000,11062113
AZE,Bahamas,4/7/2020,33,4,6,1,5,1,Latin America & Caribbean,High income,13710000000,389482
BRB,Barbados,5/7/2020,82,0,7,0,53,6,Latin America & Caribbean,High income,5339000000,287025
CPV,Cape Verde,5/28/2020,390,0,4,0,155,0,Sub-Saharan Africa,Lower middle income,2208000000,549935
DMA,Dominica,4/1/2020,12,0,0,0,0,0,Latin America & Caribbean,Upper middle income,590000000,71808
CRI,Costa Rica,5/13/2020,815,11,8,1,527,7,Latin America & Caribbean,Upper middle income,63460000000,5047561
GTM,Guatemala,4/5/2020,61,0,2,0,15,0,Latin America & Caribbean,Upper middle income,87629000000,17581472
GHA,Ghana,5/5/2020,2719,0,18,0,294,0,Sub-Saharan Africa,Lower middle income,72264000000,28833629
GHA,Ghana,5/31/2020,8070,302,36,1,2947,407,Sub-Saharan Africa,Lower middle income,72264000000,28833629
MLI,Mali,5/20/2020,931,30,55,2,543,14,Sub-Saharan Africa,Low income,19332000000,19658031
MEX,Mexico,4/28/2020,16752,1223,1569,135,11423,2337,Latin America & Caribbean,Upper middle income,1297750000000,127575529
BRN,Brunei,5/27/2020,141,0,2,1,137,0,East Asia & Pacific,High income,14281000000,433285
GUY,Guyana,3/16/2020,4,0,1,0,0,0,Latin America & Caribbean,Upper middle income,4609000000,782766
GUY,Guyana,5/13/2020,113,0,10,0,41,5,Latin America & Caribbean,Upper middle income,4609000000,782766
GUY,Guyana,5/19/2020,125,1,10,0,46,2,Latin America & Caribbean,Upper middle income,4609000000,782766
KGZ,Kyrgyzstan,4/15/2020,449,19,5,0,78,7,Central Asia,Lower middle income,8781000000,6415850
ALB,Albania,3/16/2020,51,9,1,0,0,0,Europe,Upper middle income,17210000000,2880917
ALB,Albania,5/22/2020,981,12,31,0,777,6,Europe,Upper middle income,17210000000,2880917
KHM,Cambodia,5/27/2020,124,0,0,0,122,0,East Asia & Pacific,Lower middle income,29309000000,16486542
CMR,Cameroon,4/30/2020,1832,0,61,0,934,0,Sub-Saharan Africa,Lower middle income,42047000000,25876380
CMR,Cameroon,5/26/2020,5436,546,175,10,1996,131,Sub-Saharan Africa,Lower middle income,42047000000,25876380
CMR,Cameroon,6/1/2020,6397,493,199,8,3629,61,Sub-Saharan Africa,Lower middle income,42047000000,25876380
TCD,Chad,3/24/2020,3,2,0,0,0,0,Sub-Saharan Africa,Low income,12547000000,15946876
TCD,Chad,4/16/2020,27,4,0,0,5,3,Sub-Saharan Africa,Low income,12547000000,15946876
TCD,Chad,5/15/2020,428,29,48,2,88,5,Sub-Saharan Africa,Low income,12547000000,15946876
